འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
ཐོགས་བཅས|ཐོགས་པ་དང་བཅས་པ involving impediment/_impeded; material; obstructive; obstructed
ཐོགས་མེད|ཐོགས་པ་མེད་པ without impediment/_unimpeded(ness); unhindered; immaterial; unobstructed (one of seven vajra qualities); nonobstructive; Asanga
ཐོགས་པ|'dogs/_gdag/_btags/_- to apply/_attach (a label); to designate/_label; to refer to
ཐོགས་པ་དང་བཅས་པ|obstructed; involving impediment/_impeded; material; obstructive
ཐོགས་པ་མེད་པ|without impediment/_unimpeded(ness); unhindered; immaterial; unobstructed (one of seven vajra qualities); nonobstructive; Asanga
ཐོལ་བྱུང|ཐོལ་གྱིས་བྱུང་བ (to) spring/_burst forth suddenly
ཐོལ་གྱིས་བྱུང་བ|(to) spring/_burst forth suddenly
ཐོམ་ཡོ་རེ་བ|bewildered/_dazed/_dumfounded
ཐོན་པ|to emerge/_come forth/_issue; to make an entrance (in dance)
ཐོན་སྟངས|entrance stance (in dance)
ཐོས་པ|hearing (teachings); study
ཐུད|soft creamy cheese; residue on the side of a milking bucket [Khenpo Ngaga's metaphor for buildup of mental accretions/_habits]
ཐུག|. . . la thug - to come/_boil down to . . . ; to amount to . . .
ཐུག་མེད|infinite; ad infinitum; not touching/_coming in contact
ཐུག་ཕྲད|direct encounter
ཐུག་པ་མེད་པ|infinite; ad infinitum; not touching/_coming in contact
ཐུག་ཕྲད་རྣམ་གསུམ|threefold direct encounter [=? cf. Chos dbyings mdzod, fol. 118. a.5: shes pa thug phrad/_snang ba thug phrad/_rig pa thug phrad]
ཐུགས|(enlightened) mind
ཐུགས་བརྩེ|caring/_affectionate love
ཐུགས་དམ|(personal) spiritual practice; sacred bond
ཐུགས་རྗེ|(innate) responsiveness*; isc. greatness of mind
ཐུགས་དམ་བསྐང་བ|། སྐོང་བ to fulfill the sacred bond (with . . . )
ཐུགས་དམ་སྐོང་བ|། བསྐང་བ to fulfill the sacred bond (with . . . )
ཐུགས་རྗེ་ལྟར་ཤར་བ|arising (in a manner) consistent with the greatness of mind/_innate responsiveness*
ཐུགས་རྗེ་ཆེན་པོ|supreme innate compassion
ཐུགས་རྗེ་ཀུན་ཁྱབ|omnipresence/_all-pervading presence
ཐུགས་རྡོ་རྗེ|mind vajra
ཐུགས་སུ་ཆུད་པ|(to gain) inner mastery (of . . . )
ཐུན|ཐུན་རྫས power substance. formal practice session
ཐུན་མིན|extraordinary
ཐུན་མོང|ordinary; ordinary/_usual; typical
ཐུན་མཚམས|postmeditation (activity) between formal practice sessions
ཐུན་རྫས|power substance
ཐུན་མོང་གི|ordinary/_usual; typical
ཐུན་མོང་གི་དངོས་གྲུབ|ordinary spiritual attainments/_siddhis
ཐུན་མོང་མ་ཡིན་པའི|extraordinary
ཐུར་སེལ་གྱི་རླུང|downward moving subtle energy (governing excretion reproductive functions)
ཏིང་འཛིན|(state of deep) meditative absorption/_samadhi; isc. profound meditative state (of)
ཏིང་ངེ་འཛིན|(state of deep) meditative absorption/_samadhi; isc. profound meditative state (of)
ཏིང་ངེ་འཛིན་གསུམ|[in mahayoga] three states of samadhi/_meditative absorption; [in trekchö] three aspects of meditative absorption
ཙམ|ཙམ་དུ (to be) mere(ly); simple/_(simply); only; even . . . ; isc. purely
ཙམ་དུ|(to be) mere(ly); simple/_(simply); only; even . . . ; isc. purely
ཙམ་ལས|.་.་.་ཙམ་ལས . . . and nothing more (than that); isvfc. Other than than, . . .
ཙམ་དུ་ཟད|.་.་.་ཙམ་དུ་ཟད to amount/_boil down t - o/_what amounts to nothing more than/_only/_simply/_merely . . . ; isc. one is reduced/_forced simply/_merely to . . .
ཚ་བ|heat; hot; to be hot
ཚ་གྲང|temperature
ཚད|(verb root) ཚད all that . . .. (full) expression/_measure; extent; dimension(s); size
ཚད་ལྡན|ཚད་དང་ལྡན་པ authentic(ally qualified)/_genuine; authentic measure/_expression
ཚད་མ|valid cognition; authentic (standard)/_standard of authenticity
ཚད་དང་ལྡན་པ|authentic(ally qualified)/_genuine; authentic measure/_expression
ཚད་དུ་ཕྱིན|to (have) reach(ed) full expression/_measure
ཚད་མེད་བཞི|four immeasureable attitudes
ཚང|nest, den; isc. matrix
ཚང་བ|(to be) complete/_whole
ཚང་བུག|ཚངས་བུག terminal cranial aperture (lambda)
ཚངས་བུག|terminal cranial aperture (lambda)
ཚངས་པ|Brahma/_God; pure/_chaste
ཚངས་སྤྱོད|ཚངས་པར་སྤྱོད་པ (to observe) celibate lifestyle
ཚངས་པར་སྤྱོད་པ|(to observe) celibate lifestyle
ཚངས་པར་བྱེད་པ|to grant absolution/_absolve; ། མཛད་པ to grant absolution/_absolve
ཚངས་པ་ལྷ་ཡི་མེ་ཏོག|Pure Flower of the Gods (epithet of Tibetan king Khri srong lDe'u btsan)
ཚར་གཅོད་པ|ཚར་བཅད་པ to annihilate
ཚར་བཅད་པ|to annihilate; ཚར་གཅོད་པ to annihilate
ཚེ|life (expectancy)/_longevity; lifetime. .་.་.་ཀྱི་ཚེ once one has . . . ; at the time/_on the occasion of . . . ; in the context of . . .
ཚེ་འགུགས|(ritual for) summoning the forces of longevity
ཚེ་མདའ|longevity arrow
ཚེ་རབས|(succession of) lifetimes
ཚེ་སྒྲུབ|longevity practice/_sadhana
ཚེ་ལ་དབང་བའི་རིག་འཛིན|master/_holder of awareness with power over longevity*
ཚེ་དབང་རིག་འཛིན|ཚེ་ལ་དབང་བའི་རིག་འཛིན master/_holder of awareness with power over longevity*
ཚི་ཆད|fatigue/_exhaustion; fatiguing/_exhausting
ཚིག|word; label
ཚིག་དབང|word empowerment/_empowerment through words
ཚིག་གསུམ་གནད་བརྡེགས|Three Lines that Hit On the Key Points (title of dGa' rab rDo rje's last testament)
ཚིག་གི་རྒྱུད|tantra as literature; literary tantra/_tantra as literature
ཚིག་གི་ཚོགས|sentences; groups of inflected words
ཚིམ་པ|to be satisfied; satisfaction
ཚོད་བཙུགས་པ|to take as the standard
ཚོགས|multitude/_gathering/_host; isc. legions [of protectors], hordes [of demons]
ཚོགས་འཁོར|ganachakra; ཚོགས་ཀྱི་འཁོར་ལོ ganachakra/_feast gathering
ཚོགས་བརྒྱད|eight modes/_avenues (of ordinary consciousness)
ཚོགས་དྲུག|six modes/_avenues (of ordinary consciousness)
ཚོགས་གཉིས|two accumulations/_stores
ཚོགས་ལམ|path of accumulation
ཚོགས་མཆོད|feast offering; ཚོགས་ཀྱི་མཆོད་པ ganapuja/_feast offering
ཚོགས་པ|to collect/_gather/_assemble; gathering/_assembly; formal religious service
ཚོགས་ཞིང|assembled gathering; basis for the accumulation of merit/_gathering the accumulations
ཚོགས་བསགས་པ|to gather/_accrue accumulations/_stores; ཚོགས་གསོག་པ,་ཚོགས་བསག་པ to gather/_accrue accumulations/_stores
ཚོགས་བསག་པ|ཚོགས་གསོག་པ,་ཚོགས་བསགས་པ to gather/_accrue accumulations/_stores
ཚོགས་གསོག་པ|ཚོགས་བསག་པ,་ཚོགས་བསགས་པ to gather/_accrue accumulations/_stores
ཚོགས་ཀྱི་མཆོད་པ|ganapuja; feast offering; ganapuja/_ganapuja
ཚོགས་ཀྱི་འཁོར་ལོ|ganachakra/_feast gathering
ཚོལ་བ|search for; འཚོལ་བ,་བཙལ་བ to seek/_look for/_search for
ཚོལ་ཁྲོ|struggle; complication/_complexity; struggle/_frantic activity
ཚོམ་བུ|mass; amassing (of) [eg. 'od gsal gyi tshom bu signifies 'everything is utter lucidity']
ཚོར་བ|feeling; sensation (i.e., as aggregate or one of twelve links of interdependent connection)
ཚོར་བའི་ཕུང་པོ|aggregate of sensations
ཚོར་བ་དྲན་པ་ཉེ་བར་གཞག་པ|application of mindfulness based on sensation(s)
ཚུགས་པ|to inflict
ཚུགས་ཐུབ་པ|རང་ཚུགས་ཐུབ་པ to be self-sustaining
ཚུལ|mode; way/_manner/_mode/_process (of); how . . .
ཚུལ་བཞིན|appropriate/_suitable/_proper/_correct; self-justifying
ཚུལ་དུ|way/_manner/_mode (of . . . ); through the process of . . . ; just like . . .
ཚུལ་གྱིས|by way of . . . ; through the process of . . .
ཚུལ་ཁྲིམས|ethical discipline; ethcics
ཚུལ་ཁྲིམས་གསུམ|three kinds of discipline
ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་ལ་མཆོག་ཏུ་འཛིན་པའི་ལྟ་བ|to view/_view of regarding personal rules of discipline and deportment as supreme (principles) in their own right
ཚུལ་ཁྲིམས་ཀྱི་བསླབ་པ|higher training in ethical discipline
ཚུལ་བཞིན་དུ|appropriately/_suitably/_properly/_correctly; in an appropriate manner
ཚུལ་བཞིན་མ་ཡིན་པ|inappropriate/_unsuitable/_improper/_incorrect; not self-justifying
ཚུན་ཆད|at most; up to and including
ཚུར|ཚུར་སྣང་བ (manifesting) reflexively
ཚུར་མཐོང|ཚུར་མཐོང་གི self-centered/_absorbed
ཚུར་སྣང་བ|(manifesting) reflexively
ཙིཏ་ཏ|pavilion of/_in the heart (region)
ཙིཏ་ཏ་ཤའི་སྒྲོན་མ|lamp of flesh in the heart center*
ཏུ|tu/_du/_su - as; isc. in light of . . .
ཨུ་པ་ཡའི་རྒྱུད|upaya/_ubhayatantra/_nondual tantra; (fifth of nine yanas)
ཡ་ང|anxiety; anguish
ཡ་ལ་ལ|how/_so amazing!
ཡ་རེ་ཆ|how incredible!
ཡབ|masculine consort/_principle
ཡབ་གཞིས|family (estate) (hon.)
ཡབ་ཡུམ|father and mother consorts in union; masculine and feminine principles in union
ཡག་ཉེས|quality
ཡལ་བ|to vanish/_fade (away)/_dissolve/_resolve; isc. evanescent
ཡལ་གམ|pledge
ཡལ་ཡོལ|ཡལ་མ་ཡོལ ephemeral
ཡལ་མ་ཡོལ|ཡལ་ཡོལ ephemeral
ཡན་ལག|branch/_auxiliary (practice); secondary (iso. guru/_samaya)
ཡན་ལག་བདུན་པ|seven-branched prayer; seven offices of worship
ཡང་བཅུད|innermost quintessence
ཡང་དག|authentic; correct
ཡང་ན|alternatively; moreover/_(once) again; either . . . or
ཡང་རབ|most excellent/_superior
ཡང་རྩེ|very (highest) pinnacle (of)
ཡང་སྙིང|innermost essence/_heart
ཡང་དར་པར་རྫོགས་པའི་སང་རྒྱས|totally and completely awakened buddha(hood)
ཡང་དག་དོན|(what has) authentic meaning; meaning of reality
ཡང་དག་པ|authentic; ཡང་དག་པར correct(ly)/_real(ly)/_authentic(ally)/_accurate(ly); impeccable/_ly; truth/_reality; true/_ly
ཡང་དག་ས|level of truth
ཡང་དག་པར་གྲུབ་པ|established in actual truth/_to have authentic existence
ཡང་དག་པར་སྤོང་བ|(aspect of) correct renunciation
ཡང་དག་པར་སྤོང་བ་བཞི|four aspects of correct renunciation
ཡང་དག་པ་དང་ཡང་དག་པ་མ་ཡིན་པ|what does or does not accord with (conventional) reality
